Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Mother's occupation,Father's occupation
1,17,5,Animation and Multimedia Design,daytime,Secondary education,122.0,Portuguese,19,12,127.3,yes,no,no,yes,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers
1,15,1,Tourism,daytime,Secondary education,160.0,Portuguese,1,3,142.5,yes,no,no,no,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions
1,1,5,Communication Design,daytime,Secondary education,122.0,Portuguese,37,37,124.8,yes,no,no,no,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,Unskilled Workers,Unskilled Workers
1,17,2,Journalism and Communication,daytime,Secondary education,122.0,Portuguese,38,37,119.6,yes,no,no,yes,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions
2,39,1,Social Service (evening attendance),evening,Secondary education,100.0,Portuguese,37,38,141.5,no,no,no,yes,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,Unskilled Workers,Unskilled Workers
2,39,1,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,37,37,114.8,no,no,yes,yes,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen"
1,1,1,Nursing,daytime,Secondary education,142.0,Portuguese,19,38,128.4,yes,no,no,yes,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions
1,18,4,Tourism,daytime,Secondary education,119.0,Portuguese,37,37,113.1,yes,no,no,no,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Unskilled Workers,Unskilled Workers
1,1,3,Social Service,daytime,Secondary education,137.0,Romanian,1,1,129.3,no,no,no,yes,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,Unskilled Workers,Unskilled Workers
1,1,1,Social Service,daytime,Secondary education,138.0,Portuguese,1,19,123.0,yes,no,yes,no,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen"
